ano;controle;moradores;tipo_dom;material_parede;material_telhado;comodos;quartos;aluguel;agua;banheiros;energia;rendapc;UF
2015;11000015;1.0;Apartamento;Alvenaria;Telha;4.0;1.0;500.0;Sim;1.0;Sim;800.0;RO
2015;11000015;1.0;Apartamento;Alvenaria;Telha;2.0;1.0;350.0;Sim;1.0;Sim;1150.0;RO
2015;11000015;5.0;Casa;Madeira aparelhada;Telha;5.0;3.0;600.0;Sim;1.0;Sim;818.0;RO
2015;11000015;2.0;Apartamento;Alvenaria;Telha;4.0;2.0;500.0;Sim;1.0;Sim;1400.0;RO
2015;11000015;3.0;Apartamento;Alvenaria;Telha;3.0;1.0;480.0;Sim;1.0;Sim;666.0;RO
2015;11000023;4.0;Casa;Alvenaria;Telha;6.0;2.0;500.0;Sim;1.0;Sim;1087.0;RO
2015;11000023;3.0;Casa;Madeira aparelhada;Telha;6.0;3.0;350.0;Sim;1.0;Sim;700.0;RO
2015;11000023;4.0;Casa;Alvenaria;Telha;8.0;3.0;580.0;Sim;2.0;Sim;1172.0;RO
2015;11000023;6.0;Casa;Madeira aparelhada;Telha;5.0;3.0;400.0;Sim;1.0;Sim;366.0;RO
2015;11000031;3.0;Casa;Alvenaria;Telha;5.0;2.0;400.0;Sim;1.0;Sim;262.0;RO
2015;11000031;5.0;Casa;Alvenaria;Telha;9.0;3.0;450.0;Sim;2.0;Sim;36.0;RO
2015;11000031;3.0;Casa;Alvenaria;Telha;6.0;2.0;500.0;Sim;1.0;Sim;596.0;RO
2015;11000031;5.0;Apartamento;Alvenaria;Telha;4.0;2.0;300.0;Sim;1.0;Sim;196.0;RO
2015;11000031;2.0;Casa;Alvenaria;Telha;7.0;2.0;650.0;Sim;1.0;Sim;850.0;RO
2015;11000031;5.0;Casa;Alvenaria;Telha;7.0;3.0;650.0;Sim;2.0;Sim;480.0;RO
2015;11000031;2.0;Apartamento;Alvenaria;Telha;2.0;1.0;330.0;Sim;1.0;Sim;650.0;RO
2015;11000040;2.0;Apartamento;Alvenaria;Telha;3.0;1.0;250.0;Sim;1.0;Sim;2100.0;RO
2015;11000040;5.0;Casa;Madeira aparelhada;Telha;6.0;3.0;350.0;Sim;1.0;Sim;1000.0;RO
2015;11000040;4.0;Casa;Madeira aparelhada;Telha;3.0;1.0;200.0;Sim;1.0;Sim;225.0;RO
2015;11000058;3.0;Apartamento;Alvenaria;Telha;2.0;1.0;850.0;Sim;1.0;Sim;250.0;RO
2015;11000058;4.0;Casa;Alvenaria;Telha;5.0;2.0;650.0;Sim;1.0;Sim;837.0;RO
2015;11000066;1.0;Apartamento;Alvenaria;Telha;2.0;1.0;180.0;Sim;1.0;Sim;1250.0;RO
2015;11000066;4.0;Casa;Madeira aparelhada;Telha;5.0;3.0;350.0;Sim;1.0;Sim;409.0;RO
2015;11000066;3.0;Casa;Madeira aparelhada;Telha;6.0;2.0;350.0;Sim;1.0;Sim;656.0;RO
2015;11000074;2.0;Casa;Alvenaria;Telha;5.0;2.0;450.0;Sim;1.0;Sim;494.0;RO
2015;11000074;5.0;Casa;Alvenaria;Telha;5.0;3.0;250.0;Sim;1.0;Sim;280.0;RO
2015;11000074;4.0;Casa;Alvenaria;Telha;6.0;3.0;300.0;Sim;1.0;Sim;288.0;RO
2015;11000074;4.0;Apartamento;Alvenaria;Telha;3.0;1.0;300.0;Sim;1.0;Sim;197.0;RO
2015;11000074;1.0;Apartamento;Alvenaria;Telha;3.0;1.0;200.0;Sim;1.0;Sim;1000.0;RO
2015;11000090;3.0;Casa;Alvenaria;Telha;6.0;2.0;430.0;Sim;1.0;Sim;692.0;RO
2015;11000090;4.0;Casa;Alvenaria;Telha;5.0;2.0;500.0;Sim;1.0;Sim;1420.0;RO
2015;11000090;1.0;Casa;Alvenaria;Telha;2.0;1.0;200.0;Sim;1.0;Sim;800.0;RO
2015;11000090;3.0;Casa;Madeira aparelhada;Telha;4.0;2.0;280.0;Sim;1.0;Sim;70.0;RO
2015;11000090;2.0;Apartamento;Alvenaria;Telha;3.0;1.0;250.0;Sim;1.0;Sim;390.0;RO
2015;11000090;2.0;Apartamento;Alvenaria;Telha;2.0;1.0;350.0;Sim;1.0;Sim;0.0;RO
2015;11000090;6.0;Casa;Madeira aparelhada;Telha;6.0;3.0;250.0;Sim;1.0;Sim;162.0;RO
2015;11000090;3.0;Casa;Madeira aparelhada;Telha;5.0;2.0;350.0;Sim;1.0;Sim;560.0;RO
2015;11000090;4.0;Casa;Alvenaria;Telha;6.0;3.0;500.0;Sim;1.0;Sim;787.0;RO
2015;11000090;3.0;Apartamento;Alvenaria;Telha;2.0;1.0;400.0;Sim;1.0;Sim;381.0;RO
2015;11000090;4.0;Casa;Madeira aparelhada;Telha;6.0;2.0;230.0;Sim;1.0;Sim;1125.0;RO
2015;11000090;5.0;Casa;Madeira aparelhada;Telha;5.0;2.0;400.0;Sim;1.0;Sim;320.0;RO
2015;11000090;2.0;Apartamento;Alvenaria;Telha;3.0;1.0;350.0;Sim;1.0;Sim;900.0;RO
2015;11000090;3.0;Apartamento;Alvenaria;Telha;2.0;1.0;250.0;Sim;1.0;Sim;199.0;RO
2015;11000090;2.0;Casa;Alvenaria;Telha;3.0;1.0;300.0;Sim;1.0;Sim;550.0;RO
2015;11000104;3.0;Casa;Alvenaria;Telha;5.0;2.0;500.0;Sim;1.0;Sim;831.0;RO
2015;11000104;4.0;Casa;Madeira aparelhada;Telha;8.0;3.0;400.0;Sim;2.0;Sim;697.0;RO
2015;11000112;4.0;Casa;Madeira aparelhada;Telha;5.0;2.0;100.0;Sim;1.0;Sim;425.0;RO
2015;11000139;4.0;Casa;Madeira aparelhada;Telha;5.0;3.0;200.0;Sim;1.0;Sim;547.0;RO
2015;11000155;3.0;Casa;Madeira aparelhada;Telha;5.0;2.0;250.0;Sim;1.0;Sim;733.0;RO
